ID,Name,Email,Password,StudentGroupId
S1,John,john@ul.ie,1234,SG1
S2,Alice,alice@ul.ie.com,abcd,SG1
S3,Bob,bob@ul.ie,pass,SG1
S4,Mary,mary@ul.ie,password123,SG2
S5,Greg,greg@ul.ie,password123,SG2
S6,Frederick,frederick@ul.ie,password123,SG2
S7,Lloyd,lloyd@ul.ie,password123,SG3
S8,Gertrude,gertrude@ul.ie,password123,SG3
S9,Hamlet,hamlet@ul.ie,password123,SG3
S10,Ophelia,ophelia@ul.ie,password123,SG4
S11,Claudius,claudius@ul.ie,password123,SG4
S12,Polonius,polonius@ul.ie,password123,SG4
S13,Laertes,laertes@ul.ie,password123,SG5
S14,Horatio,horatio@ul.ie,password123,SG5
S15,Fortinbras,fortinbras@ul.ie,password123,SG5
S16,Rozencrantz,rozencrantz@ul.ie,password123,SG6
S17,Guildenstern,guildenstern@ul.ie,password123,SG6
S18,Yorick,yorick@ul.ie,password123,SG6
S19,Romeo,romeo@ul.ie,password123,SG7
S20,Juliet,juliet@ul.ie,password123,SG7
S21,Tybalt,tybalt@ul.ie,password123,SG7
